Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
1,C037,67,5,24-02-2023,23:48:13,05-03-2023,07:27:10,Bardhaman,Anniversary
2,C019,41,2,07-11-2023,23:30:18,13-11-2023,07:16:17,Jaipur,Diwali
3,C029,67,5,14-07-2023,19:12:03,19-07-2023,17:39:00,Bilaspur,Anniversary
4,C012,14,5,10-07-2023,04:44:29,19-07-2023,06:33:23,Guwahati,Birthday
5,C078,58,2,11-02-2023,19:44:48,18-02-2023,11:08:52,Rajkot,Valentine's Day
6,C040,28,4,20-08-2023,22:11:35,26-08-2023,19:06:46,Sirsa,Raksha Bandhan
7,C009,45,2,08-05-2023,01:45:13,13-05-2023,10:07:17,Nanded,Birthday
8,C097,43,3,08-11-2023,19:20:02,14-11-2023,08:44:45,Morena,Diwali
9,C044,27,4,20-08-2023,23:39:51,29-08-2023,23:59:54,Rajkot,Raksha Bandhan
10,C099,56,3,26-02-2023,00:17:26,08-03-2023,20:47:43,Ambala,Anniversary
11,C065,16,4,02-03-2023,20:14:55,03-03-2023,23:19:47,Belgaum,Holi
12,C097,38,3,12-07-2023,08:28:56,20-07-2023,23:34:57,Karnal,Birthday
13,C024,20,3,24-02-2023,16:47:16,04-03-2023,02:27:37,Gandhidham,Anniversary
14,C042,60,1,08-11-2023,03:46:06,15-11-2023,12:08:02,Bilaspur,Diwali
15,C069,21,5,26-08-2023,02:52:39,30-08-2023,13:26:45,Pune,Raksha Bandhan
16,C013,20,3,16-02-2023,15:06:11,20-02-2023,22:14:21,Khammam,Anniversary
17,C056,60,2,04-11-2023,11:31:33,13-11-2023,18:40:13,Kota,Diwali
18,C072,23,4,10-12-2023,10:46:15,11-12-2023,00:20:29,Moradabad,Anniversary
19,C072,62,4,07-03-2023,07:59:48,08-03-2023,03:04:34,Vijayanagaram,Holi
20,C011,52,1,11-02-2023,14:36:57,14-02-2023,01:34:16,Madurai,Valentine's Day
21,C090,32,1,09-02-2023,11:20:52,12-02-2023,11:36:26,Bathinda,Birthday
22,C054,43,1,09-11-2023,01:05:28,14-11-2023,09:49:47,Tenali,Diwali
23,C041,12,3,05-05-2023,05:28:33,06-05-2023,12:12:24,Ludhiana,Anniversary
24,C018,42,3,25-07-2023,05:10:42,03-08-2023,07:57:35,Durg,All Occasions
