Product_ID,Product_Name,Category,Price (INR),Occasion,Description
1,Magnam Set,Soft Toys,1935,All Occasions,Quam numquam iste sunt nemo.
2,Voluptas Box,Plants,441,Valentine's Day,At quaerat animi nemo.
3,Eius Gift,Colors,1534,Valentine's Day,Deserunt pariatur mollitia voluptatem.
4,Accusantium Set,Sweets,1199,Diwali,Corporis odio consequatur perferendis repellendus laudantium deserunt.
5,Natus Gift,Colors,1444,All Occasions,Quis occaecati reprehenderit facere tenetur illum exercitationem.
6,Quos Box,Cake,1112,Holi,Eum deleniti adipisci vero neque.
7,Quos Set,Soft Toys,409,Holi,Sint accusamus veritatis exercitationem corporis.
8,Qui Box,Sweets,252,Anniversary,Praesentium necessitatibus quos esse neque.
9,Aperiam Box,Colors,1605,Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.
10,Accusantium Gift,Cake,259,Birthday,Minima nobis repellendus distinctio a veritatis voluptate eaque.
11,Maxime Set,Mugs,1096,Valentine's Day,Sapiente exercitationem illo sed ea.
12,Non Set,Plants,672,Anniversary,Fugiat id similique minima corrupti ut sint sapiente.
13,Et Set,Mugs,1141,Holi,Eius praesentium ipsum autem.
14,Deserunt Box,Colors,1915,Birthday,Incidunt hic vero esse saepe illum.
15,Repudiandae Box,Raksha Bandhan,1488,Anniversary,Consequuntur placeat quia voluptate esse consectetur accusamus nemo.
16,Ut Pack,Sweets,1721,Holi,Quae occaecati laborum expedita perspiciatis consequatur ad.
17,Delectus Gift,Soft Toys,1899,Anniversary,Architecto beatae ullam ad sed dolorem voluptates est.
18,Nemo Set,Plants,781,Birthday,Perspiciatis nemo dolorem perspiciatis aspernatur.
19,Iure Gift,Mugs,1234,Valentine's Day,Autem quaerat tempore quasi ipsam.
20,Reiciendis Box,Colors,697,Anniversary,Molestias earum quam dolor.
21,Quia Gift,Colors,1561,Raksha Bandhan,Autem necessitatibus perferendis consequatur suscipit iste harum sint.
22,Exercitationem Pack,Soft Toys,1639,All Occasions,Iusto cum nostrum quasi dicta totam error.
23,Dignissimos Pack,Sweets,1098,Anniversary,Sunt laborum incidunt ad asperiores itaque minus placeat.
24,Ad Box,Mugs,535,Birthday,Possimus perspiciatis nesciunt modi molestias.
25,Qui Gift,Plants,1202,Anniversary,Maxime culpa earum blanditiis.
26,Aliquam Box,Colors,289,Holi,Sunt repellendus quidem laborum provident voluptas ut nisi.
27,Architecto Gift,Cake,548,Raksha Bandhan,Odio quisquam inventore esse sed recusandae autem.
28,Velit Set,Sweets,1778,Raksha Bandhan,Quidem sit facilis consequuntur iusto dignissimos exercitationem.
29,In Set,Colors,1252,Holi,Occaecati impedit incidunt qui.
30,Recusandae Pack,Colors,751,Anniversary,Maxime exercitationem repellat veritatis a dolorem.
31,Nihil Box,Colors,1804,All Occasions,Eveniet sint molestiae.
32,Fuga Set,Soft Toys,1792,Birthday,Modi veniam vero dolores.
33,Earum Set,Colors,314,Valentine's Day,Nisi quis nam ipsa molestias vel totam.
34,Placeat Pack,Soft Toys,1335,Raksha Bandhan,Illo in quas at rem.
35,Nam Gift,Colors,1865,Holi,Ab possimus tempore maiores nesciunt enim placeat excepturi.
36,Cum Gift,Plants,203,Birthday,Magni maiores ullam fugiat.
